cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
WM.CC	Neuroticism	0.005095317873588005	0.0023986050917261786	0.0012965014708773883	0.4707468996506662	0.2544495756776843	0.03918034231278097	-7.900042930879749e-09	4.8792200823199905e-09	-1.6191200227892582
WM1	ADHD	0.09972221844778842	0.09534978204743114	0.009825261885903564	0.9561538394510691	0.09852630676329947	0.6562637090962389	-2.2795159250214008e-09	3.010069984882138e-09	-0.7572966530579379
WM1	Drinks Per Week	0.09972221844778842	0.11092229864189032	0.010260307775239723	1.1123127861416955	0.10288888409168027	0.27459645409459066	-6.521080072138553e-10	9.259407214691441e-10	-0.7042653942027606
WM1	Alzheimer Disease	0.09972221844778842	0.3084844883465781	0.06228555308621789	3.093437883234531	0.6245905281261743	0.0008947278933485137	2.3518355611450414e-09	1.1344078713470732e-09	2.073183394216325
WM1	Alzheimer Disease2	0.09972221844778842	0.266430825410832	0.05699004902345665	2.6717298266918044	0.5714879784117011	0.014846533311828823	1.666495682961307e-09	1.1842299394089347e-09	1.4072399518906589
WM1	Alzheimer Disease3	0.09972221844778842	0.25706262064753904	0.04197194746420551	2.5777868227242595	0.4208886255993269	9.203313906536646e-05	2.5155119848238037e-09	1.4676029203371402e-09	1.7140276500989355
WM1	Anorexia	0.09972221844778842	0.09466509409153642	0.012248236574669653	0.9492878875443415	0.12282354690176156	0.6799370288344055	-2.9187091798828582e-09	5.859086759715818e-09	-0.4981508722401004
WM1	Autism	0.09972221844778842	0.13084297978945117	0.018168231740222134	1.3120744988034603	0.18218840317651455	0.07965416665689078	1.2071555809992594e-08	6.851582273134579e-09	1.7618639503645475
WM1	BMI	0.09972221844778842	0.114795069018366	0.006905031265919882	1.1511483679885168	0.0692426559837831	0.02978356349446045	-1.3112484253339338e-09	2.768458746977384e-09	-0.47363841948721863
WM1	Bipolar Disorder2	0.09972221844778842	0.11715494445063938	0.008339368936890341	1.1748128578986459	0.08362598693345943	0.03800843395716376	-2.9030410200295146e-09	2.989162355444003e-09	-0.9711888063699048
WM1	Bipolar Disorder	0.09972221844778842	0.11857053676589173	0.012503177685105464	1.189008213129271	0.12538005952657136	0.13501756414279134	-6.424051112220943e-09	7.700946615458952e-09	-0.8341897993845644
WM1	Alcohol Use Disorder	0.09972221844778842	0.07561905663895241	0.016065348448807713	0.7582969754984371	0.16110099332797184	0.12478542351308863	-5.820609550424567e-09	2.9586817561664893e-09	-1.9672982869121505
WM1	epilepsyAll	0.09972221844778842	0.182477456375287	0.025728984421999213	1.8298575705155091	0.2580065387882455	0.0013524512599924021	8.821017442631323e-09	5.635574885133465e-09	1.5652382627193886
WM1	epilepsyFocal	0.09972221844778842	0.21868701222429276	0.06339089654722273	2.192961765474469	0.6356747526672034	0.01592610131098339	9.78290793453995e-09	6.432289292669302e-09	1.5209060863741395
WM1	epilepsy	0.09972221844778842	0.1525684847798658	0.016991676098500212	1.5299347242234298	0.1703900731750823	0.004915793884733844	1.8631032355794492e-08	2.3247862496308672e-08	0.8014084029769513
WM1	GSCAN_AgeSmk	0.09972221844778842	0.10259025781381817	0.011497388849262298	1.0287602844247932	0.11529415438428085	0.8031746658621778	-7.409200642585738e-10	1.1124151396357202e-09	-0.6660463687155507
WM1	GSCAN_CigDay	0.09972221844778842	0.10904940159737711	0.013701896274149895	1.093531645151598	0.13740063636193373	0.49099371871735076	-2.177786754962357e-09	2.1533858576034914e-09	-1.0113314096833632
